 iter iteTime iteTimeAvg
            1   4.8818963000000000E-002   4.8818963000000000E-002
           11   3.0130237000000060E-002   3.2152604451700879E-002
           21   2.7125830000000017E-002   2.9912704738622765E-002
           31   2.7165263000000106E-002   2.9029688320422836E-002
           41   2.7086758999999905E-002   2.8569497517336295E-002
           51   2.7071983999999993E-002   2.8279656625909415E-002
           61   2.7178522999999899E-002   2.8088298047753257E-002
           71   2.7092649000000080E-002   2.7982658300600437E-002
           81   2.7051586000000238E-002   2.7946566336103738E-002
           91   3.0009458000000322E-002   2.8112109420961040E-002
          101   2.9994782999999803E-002   2.8301793254518256E-002
          111   2.7241404999999830E-002   2.8358087055103190E-002
          121   2.7202176999999939E-002   2.8266575933989953E-002
          131   2.7214289999999419E-002   2.8233158764131676E-002
          141   2.7250668000000644E-002   2.8225687644509286E-002
          151   2.7205857000000222E-002   2.8166845639337919E-002
          161   2.7178015000000499E-002   2.8101467953432824E-002
          171   3.0070115000000008E-002   2.8129971057293323E-002
          181   2.7076910999999981E-002   2.8156340514578368E-002
          191   2.7123245000000296E-002   2.8161360957157860E-002
          201   3.0015765000000805E-002   2.8151292609366389E-002
          211   3.0048758000000397E-002   2.8132744356806110E-002
          221   2.7104610000000307E-002   2.8147711371397495E-002
          231   2.7134046000000467E-002   2.8103364542368833E-002
          241   2.7034735999999171E-002   2.8097309845412175E-002
          251   2.7037095999999927E-002   2.8057000998927360E-002
          261   2.7060813000000294E-002   2.8019089951581110E-002
          271   2.7080637000000074E-002   2.8006510759513225E-002
          281   2.7064651999999967E-002   2.7973256447758152E-002
          291   2.7067711999999133E-002   2.8003178720513455E-002
          301   2.7122380999999862E-002   2.7992370631769809E-002
          311   2.7119177000001216E-002   2.7963154866967373E-002
          321   2.7055054999999939E-002   2.7935173813102409E-002
          331   2.7070910999999143E-002   2.7909146870684395E-002
          341   3.0115248999999622E-002   2.7894062798174343E-002
          351   2.7081136999999700E-002   2.7887879630012286E-002
          361   2.7182717000000522E-002   2.7875152844389600E-002
          371   2.7076472999999268E-002   2.7854586794277197E-002
          381   2.7197917000000515E-002   2.7835530382646682E-002
          391   2.7391478000000191E-002   2.7823987111236997E-002
          401   3.0061886999998677E-002   2.7881182873798493E-002
          411   2.7106169999999707E-002   2.7869726627594689E-002
          421   2.7102117000000092E-002   2.7851225621053119E-002
          431   2.7068164000001005E-002   2.7833746971700692E-002
          441   2.7070546999999223E-002   2.7816685169123216E-002
          451   2.7074929999999497E-002   2.7800639483747041E-002
          461   3.0201817000000020E-002   2.7798975798309453E-002
          471   3.0245409999999140E-002   2.7819223915423571E-002
          481   2.7141857000000158E-002   2.7832115553755248E-002
          491   2.7214911999999813E-002   2.7842744287943883E-002
          501   2.7091598000000161E-002   2.7840794848538242E-002
          511   3.0237391000000002E-002   2.7835819038399604E-002
          521   2.7131061000000400E-002   2.7841035922419825E-002
          531   2.7060570000001505E-002   2.7838105381459213E-002
          541   2.7088158999999834E-002   2.7846155326161536E-002
          551   2.7116309000000172E-002   2.7832866065374887E-002
          561   3.0065976999999577E-002   2.7835956058460634E-002
          571   2.7116885999998175E-002   2.7828591574728331E-002
          581   2.7113280999998324E-002   2.7826277820613185E-002
          591   2.7068646000000030E-002   2.7814095453816145E-002
          601   2.7073030000000387E-002   2.7801854990803839E-002
          611   3.0072260000000739E-002   2.7809474673572938E-002
          621   2.7068224000000640E-002   2.7821492622284796E-002
          631   2.7161455000001666E-002   2.7819808504668440E-002
          641   2.7177655999999217E-002   2.7810686787580745E-002
          651   2.7342572999998538E-002   2.7806601339631011E-002
          661   2.7193334999999763E-002   2.7802700515921007E-002
          671   3.0166999000002193E-002   2.7804418589358067E-002
          681   2.7212070000000921E-002   2.7803033705417032E-002
          691   2.7084154000000638E-002   2.7806345810021938E-002
          701   2.7064637999998808E-002   2.7821430509100988E-002
          711   3.0017982999996917E-002   2.7844279534484977E-002
          721   2.9976092999998372E-002   2.7850216203408155E-002
          731   2.7052448999999257E-002   2.7855795448336697E-002
          741   2.7081589000001571E-002   2.7873187571985123E-002
          751   3.0005409999997568E-002   2.7894377858307076E-002
          761   3.0027568000001281E-002   2.7922477731707532E-002
          771   3.0019724999998942E-002   2.7942234022975510E-002
          781   2.7119671999997763E-002   2.7954572971318495E-002
          791   2.7207859000000667E-002   2.7948249858846273E-002
          801   2.7097762000000358E-002   2.7938480603394423E-002
          811   2.7104575000002740E-002   2.7929601054710831E-002
          821   2.7151227000000944E-002   2.7941336143795514E-002
          831   3.0090745999999058E-002   2.7966824652753255E-002
          841   3.0040417000002151E-002   2.7988106239167716E-002
          851   2.7123905999999920E-002   2.7984673026426456E-002
          861   2.7123084999999492E-002   2.7974571100405677E-002
          871   2.7106605000000172E-002   2.7968285730318988E-002
          881   3.0011637999997731E-002   2.7975037122172374E-002
          891   3.0163702999999487E-002   2.7988901356902341E-002
          901   3.0077132999998923E-002   2.7992334480175778E-002
