   ITER        TIME        AREA        FPRE_X        FPRE_Y        FPRE_Z        FTAU_X        FTAU_Y        FTAU_Z
     211 ,  1.86714E-02 ,  8.34980E+00 , -2.10437E-03 ,  3.23338E-02 ,  1.22136E-07 ,  1.14796E-07 ,  1.16008E-07 , -2.98995E-10 , -3.23523E-03 , -2.10617E-04 ,  2.41377E-02 
     221 ,  1.97057E-02 ,  8.34980E+00 , -1.72416E-03 ,  2.66868E-02 ,  9.91846E-08 ,  1.36907E-07 ,  1.35768E-07 , -1.19099E-10 , -2.67035E-03 , -1.72571E-04 ,  1.94411E-02 
     231 ,  2.08388E-02 ,  8.34980E+00 , -1.60011E-03 ,  2.48741E-02 ,  9.45052E-08 ,  1.40507E-07 ,  1.35908E-07 ,  8.35636E-11 , -2.48892E-03 , -1.60152E-04 ,  1.77466E-02 
     241 ,  2.20475E-02 ,  8.34980E+00 , -1.82915E-03 ,  2.81832E-02 ,  1.00211E-07 ,  1.21515E-07 ,  1.21709E-07 ,  2.47395E-10 , -2.82001E-03 , -1.83069E-04 ,  1.98564E-02 
     251 ,  2.32670E-02 ,  8.34980E+00 , -2.25109E-03 ,  3.37906E-02 ,  9.72771E-08 ,  1.06901E-07 ,  1.05241E-07 ,  1.57255E-10 , -3.38098E-03 , -2.25274E-04 ,  2.40818E-02 
     261 ,  2.45286E-02 ,  8.34980E+00 , -2.48031E-03 ,  3.65761E-02 ,  9.83234E-08 ,  1.12978E-07 ,  9.29270E-08 , -4.80513E-11 , -3.65941E-03 , -2.48181E-04 ,  2.65638E-02 
     271 ,  2.57272E-02 ,  8.34980E+00 , -2.50458E-03 ,  3.64777E-02 ,  9.39975E-08 ,  1.34754E-07 ,  8.81383E-08 , -1.85742E-10 , -3.64944E-03 , -2.50595E-04 ,  2.68727E-02 
     281 ,  2.67592E-02 ,  8.34980E+00 , -2.20949E-03 ,  3.19370E-02 ,  8.45378E-08 ,  1.67124E-07 ,  9.20029E-08 , -1.47726E-10 , -3.19509E-03 , -2.21060E-04 ,  2.39503E-02 
     291 ,  2.76748E-02 ,  8.34980E+00 , -1.65565E-03 ,  2.40233E-02 ,  7.69215E-08 ,  1.96076E-07 ,  1.05968E-07 , -2.12021E-10 , -2.40334E-03 , -1.65645E-04 ,  1.82664E-02 
     301 ,  2.85869E-02 ,  8.34980E+00 , -1.10424E-03 ,  1.61482E-02 ,  5.90937E-08 ,  2.12281E-07 ,  1.27529E-07 , -1.83086E-10 , -1.61552E-03 , -1.10472E-04 ,  1.22998E-02 
     311 ,  2.95891E-02 ,  8.34980E+00 , -8.10366E-04 ,  1.20311E-02 ,  4.19072E-08 ,  2.13583E-07 ,  1.42581E-07 , -1.06926E-10 , -1.20373E-03 , -8.10701E-05 ,  8.65493E-03 
     321 ,  3.06432E-02 ,  8.34980E+00 , -8.50881E-04 ,  1.28472E-02 ,  4.33537E-08 ,  1.93498E-07 ,  1.35590E-07 , -2.06776E-11 , -1.28546E-03 , -8.51321E-05 ,  8.59465E-03 
     331 ,  3.18108E-02 ,  8.34980E+00 , -1.21334E-03 ,  1.81578E-02 ,  5.76651E-08 ,  1.60161E-07 ,  1.13170E-07 ,  1.74895E-11 , -1.81683E-03 , -1.21407E-04 ,  1.21719E-02 
     341 ,  3.30622E-02 ,  8.34980E+00 , -1.73333E-03 ,  2.54436E-02 ,  7.17465E-08 ,  1.36477E-07 ,  9.05708E-08 , -3.17853E-11 , -2.54570E-03 , -1.73432E-04 ,  1.76143E-02 
     351 ,  3.43570E-02 ,  8.34980E+00 , -2.18179E-03 ,  3.13934E-02 ,  7.83802E-08 ,  1.31464E-07 ,  7.32173E-08 , -4.61716E-11 , -3.14072E-03 , -2.18282E-04 ,  2.24927E-02 
     361 ,  3.57123E-02 ,  8.34980E+00 , -2.56239E-03 ,  3.62376E-02 ,  7.69926E-08 ,  1.42138E-07 ,  6.00851E-08 ,  2.72292E-11 , -3.62512E-03 , -2.56335E-04 ,  2.64500E-02 
     371 ,  3.70509E-02 ,  8.34980E+00 , -2.75000E-03 ,  3.83307E-02 ,  7.06884E-08 ,  1.64654E-07 ,  5.32960E-08 ,  1.25433E-10 , -3.83429E-03 , -2.75077E-04 ,  2.83043E-02 
     381 ,  3.83195E-02 ,  8.34980E+00 , -2.55604E-03 ,  3.52557E-02 ,  6.42103E-08 ,  1.92659E-07 ,  5.73265E-08 ,  3.03177E-10 , -3.52654E-03 , -2.55658E-04 ,  2.63578E-02 
     391 ,  3.95687E-02 ,  8.34980E+00 , -2.10226E-03 ,  2.87789E-02 ,  5.39673E-08 ,  2.17243E-07 ,  7.46119E-08 ,  1.61969E-10 , -2.87857E-03 , -2.10251E-04 ,  2.16690E-02 
     401 ,  4.06993E-02 ,  8.34980E+00 , -1.52334E-03 ,  2.07902E-02 ,  4.59729E-08 ,  2.23561E-07 ,  9.75936E-08 ,  8.17096E-11 , -2.07945E-03 , -1.52341E-04 ,  1.57532E-02 
     411 ,  4.17764E-02 ,  8.34980E+00 , -1.00973E-03 ,  1.38791E-02 ,  3.80702E-08 ,  2.13234E-07 ,  1.20060E-07 ,  1.00595E-10 , -1.38820E-03 , -1.00971E-04 ,  1.03510E-02 
     421 ,  4.28674E-02 ,  8.34980E+00 , -5.36845E-04 ,  7.61710E-03 ,  2.53931E-08 ,  1.96410E-07 ,  1.39032E-07 ,  1.95658E-10 , -7.62010E-04 , -5.36812E-05 ,  5.13459E-03 
     431 ,  4.39205E-02 ,  8.34980E+00 , -1.70585E-04 ,  2.75462E-03 ,  1.03824E-08 ,  1.85549E-07 ,  1.50250E-07 ,  2.98966E-10 , -2.75845E-04 , -1.70551E-05 ,  9.80479E-04 
     441 ,  4.50373E-02 ,  8.34980E+00 , -1.70130E-04 ,  2.75528E-03 ,  2.08857E-09 ,  1.84985E-07 ,  1.49454E-07 ,  3.58097E-10 , -2.75981E-04 , -1.70093E-05 ,  6.91781E-04 
     451 ,  4.63202E-02 ,  8.34980E+00 , -4.68092E-04 ,  6.69804E-03 ,  3.59714E-09 ,  1.88378E-07 ,  1.36384E-07 ,  3.00614E-10 , -6.70332E-04 , -4.68098E-05 ,  3.69671E-03 
     461 ,  4.75836E-02 ,  8.34980E+00 , -8.49338E-04 ,  1.17985E-02 ,  1.21071E-08 ,  1.88817E-07 ,  1.17751E-07 ,  2.25415E-10 , -1.18041E-03 , -8.49382E-05 ,  7.64981E-03 
     471 ,  4.89134E-02 ,  8.34980E+00 , -1.16080E-03 ,  1.58755E-02 ,  2.01887E-08 ,  1.90868E-07 ,  1.03135E-07 ,  2.42457E-10 , -1.58815E-03 , -1.16089E-04 ,  1.09714E-02 
     481 ,  5.03339E-02 ,  8.34980E+00 , -1.42025E-03 ,  1.91657E-02 ,  2.25908E-08 ,  1.99291E-07 ,  9.46472E-08 ,  1.86718E-10 , -1.91714E-03 , -1.42029E-04 ,  1.36783E-02 
     491 ,  5.16480E-02 ,  8.34980E+00 , -1.47018E-03 ,  1.96392E-02 ,  2.25142E-08 ,  2.11506E-07 ,  9.27712E-08 ,  8.14728E-11 , -1.96439E-03 , -1.47011E-04 ,  1.42961E-02 
     501 ,  5.29132E-02 ,  8.34980E+00 , -1.33042E-03 ,  1.76681E-02 ,  2.10845E-08 ,  2.22984E-07 ,  9.64851E-08 ,  1.59614E-10 , -1.76718E-03 , -1.33030E-04 ,  1.29857E-02 
     511 ,  5.40692E-02 ,  8.34980E+00 , -1.10525E-03 ,  1.46887E-02 ,  2.00345E-08 ,  2.28615E-07 ,  1.02113E-07 ,  1.55930E-10 , -1.46917E-03 , -1.10510E-04 ,  1.07606E-02 
     521 ,  5.52938E-02 ,  8.34980E+00 , -9.36768E-04 ,  1.25611E-02 ,  1.91925E-08 ,  2.28902E-07 ,  1.04991E-07 ,  2.59957E-10 , -1.25640E-03 , -9.36641E-05 ,  9.00224E-03 
