 OAT15
 1.0000000    0.0000000
 1.0000000   -0.0012443
 1.0000000   -0.0024967
 0.9972155   -0.0021783
 0.9949901   -0.0019284
 0.9920735   -0.0016090
 0.9884342   -0.0012221
 0.9840756   -0.0007743
 0.9790253   -0.0002759
 0.9733150    0.0002626
 0.9669772    0.0008296
 0.9600437    0.0014133
 0.9525459    0.0020017
 0.9445145    0.0025821
 0.9359801    0.0031411
 0.9269722    0.0036644
 0.9175202    0.0041365
 0.9076526    0.0045407
 0.8973976    0.0048590
 0.8867833    0.0050723
 0.8758372    0.0051614
 0.8645863    0.0051078
 0.8530576    0.0048944
 0.8412779    0.0045077
 0.8292730    0.0039375
 0.8170681    0.0031786
 0.8046874    0.0022314
 0.7921538    0.0011006
 0.7794887   -0.0002035
 0.7667120   -0.0016673
 0.7538421   -0.0032743
 0.7408959   -0.0050060
 0.7278892   -0.0068429
 0.7148362   -0.0087662
 0.7017509   -0.0107575
 0.6886460   -0.0127998
 0.6755339   -0.0148778
 0.6624260   -0.0169776
 0.6493337   -0.0190869
 0.6362677   -0.0211948
 0.6232383   -0.0232915
 0.6102552   -0.0253679
 0.5973278   -0.0274162
 0.5844650   -0.0294288
 0.5716752   -0.0313989
 0.5589665   -0.0333206
 0.5463464   -0.0351883
 0.5338224   -0.0369969
 0.5214012   -0.0387423
 0.5090894   -0.0404204
 0.4968930   -0.0420281
 0.4848181   -0.0435625
 0.4728700   -0.0450212
 0.4610539   -0.0464021
 0.4493745   -0.0477032
 0.4378365   -0.0489230
 0.4264438   -0.0500596
 0.4152005   -0.0511118
 0.4041100   -0.0520784
 0.3931758   -0.0529587
 0.3824010   -0.0537525
 0.3717883   -0.0544597
 0.3613405   -0.0550814
 0.3510598   -0.0556187
 0.3409485   -0.0560735
 0.3310085   -0.0564479
 0.3212415   -0.0567446
 0.3116488   -0.0569660
 0.3022319   -0.0571153
 0.2929914   -0.0571953
 0.2839284   -0.0572092
 0.2750430   -0.0571603
 0.2663360   -0.0570517
 0.2578072   -0.0568866
 0.2494565   -0.0566683
 0.2412838   -0.0563998
 0.2332886   -0.0560840
 0.2254703   -0.0557238
 0.2178283   -0.0553216
 0.2103615   -0.0548801
 0.2030692   -0.0544014
 0.1959500   -0.0538877
 0.1890029   -0.0533411
 0.1822265   -0.0527636
 0.1756194   -0.0521571
 0.1691800   -0.0515236
 0.1629068   -0.0508650
 0.1567982   -0.0501835
 0.1508520   -0.0494809
 0.1450666   -0.0487595
 0.1394400   -0.0480211
 0.1339701   -0.0472679
 0.1286549   -0.0465018
 0.1234920   -0.0457247
 0.1184794   -0.0449382
 0.1136147   -0.0441440
 0.1088958   -0.0433435
 0.1043203   -0.0425379
 0.0998858   -0.0417280
 0.0955902   -0.0409150
 0.0914310   -0.0400995
 0.0874058   -0.0392823
 0.0835125   -0.0384637
 0.0797484   -0.0376444
 0.0761113   -0.0368249
 0.0725987   -0.0360057
 0.0692083   -0.0351874
 0.0659376   -0.0343704
 0.0627839   -0.0335556
 0.0597448   -0.0327434
 0.0568177   -0.0319350
 0.0539998   -0.0311310
 0.0512886   -0.0303325
 0.0486812   -0.0295403
 0.0461750   -0.0287554
 0.0437671   -0.0279788
 0.0414549   -0.0272114
 0.0392352   -0.0264541
 0.0371055   -0.0257075
 0.0350628   -0.0249723
 0.0331045   -0.0242489
 0.0312278   -0.0235379
 0.0294300   -0.0228391
 0.0277085   -0.0221529
 0.0260604   -0.0214792
 0.0244834   -0.0208176
 0.0229747   -0.0201681
 0.0215321   -0.0195301
 0.0201528   -0.0189031
 0.0188347   -0.0182865
 0.0175751   -0.0176798
 0.0163719   -0.0170821
 0.0152225   -0.0164928
 0.0141250   -0.0159110
 0.0130768   -0.0153358
 0.0120759   -0.0147662
 0.0111203   -0.0142013
 0.0102079   -0.0136397
 0.0093368   -0.0130805
 0.0085051   -0.0125222
 0.0077113   -0.0119635
 0.0069539   -0.0114027
 0.0062315   -0.0108383
 0.0055431   -0.0102683
 0.0048880   -0.0096908
 0.0042660   -0.0091036
 0.0036773   -0.0085043
 0.0031226   -0.0078905
 0.0026029   -0.0072596
 0.0021207   -0.0066092
 0.0016785   -0.0059368
 0.0012800   -0.0052407
 0.0009291   -0.0045192
 0.0006301   -0.0037721
 0.0003869   -0.0029993
 0.0002022   -0.0022017
 0.0000771   -0.0013808
 0.0000115   -0.0005384
 0.0000000    0.0000000
 0.0000039    0.0003236
 0.0000525    0.0012042
 0.0001553    0.0021027
 0.0003103    0.0030188
 0.0005165    0.0039530
 0.0007734    0.0049054
 0.0010821    0.0058763
 0.0014444    0.0068659
 0.0018626    0.0078739
 0.0023397    0.0088998
 0.0028794    0.0099428
 0.0034854    0.0110013
 0.0041616    0.0120735
 0.0049123    0.0131573
 0.0057415    0.0142498
 0.0066530    0.0153482
 0.0076505    0.0164497
 0.0087368    0.0175516
 0.0099147    0.0186511
 0.0111861    0.0197460
 0.0125531    0.0208342
 0.0140171    0.0219140
 0.0155797    0.0229841
 0.0172417    0.0240434
 0.0190047    0.0250912
 0.0208697    0.0261269
 0.0228379    0.0271502
 0.0249106    0.0281609
 0.0270891    0.0291591
 0.0293746    0.0301448
 0.0317688    0.0311184
 0.0342729    0.0320800
 0.0368887    0.0330302
 0.0396179    0.0339690
 0.0424622    0.0348971
 0.0454233    0.0358148
 0.0485032    0.0367224
 0.0517037    0.0376202
 0.0550269    0.0385085
 0.0584748    0.0393877
 0.0620494    0.0402579
 0.0657528    0.0411195
 0.0695869    0.0419728
 0.0735541    0.0428177
 0.0776564    0.0436547
 0.0818960    0.0444837
 0.0862749    0.0453045
 0.0907953    0.0461173
 0.0954595    0.0469217
 0.1002694    0.0477176
 0.1052273    0.0485049
 0.1103352    0.0492838
 0.1155952    0.0500539
 0.1210091    0.0508155
 0.1265790    0.0515683
 0.1323068    0.0523124
 0.1381946    0.0530474
 0.1442441    0.0537728
 0.1504572    0.0544883
 0.1568357    0.0551934
 0.1633813    0.0558874
 0.1700956    0.0565700
 0.1769803    0.0572404
 0.1840368    0.0578981
 0.1912665    0.0585427
 0.1986710    0.0591734
 0.2062511    0.0597895
 0.2140083    0.0603903
 0.2219434    0.0609750
 0.2300576    0.0615428
 0.2383513    0.0620928
 0.2468255    0.0626242
 0.2554805    0.0631360
 0.2643169    0.0636274
 0.2733346    0.0640971
 0.2825340    0.0645444
 0.2919147    0.0649682
 0.3014766    0.0653677
 0.3112191    0.0657414
 0.3211415    0.0660886
 0.3312430    0.0664080
 0.3415223    0.0666983
 0.3519781    0.0669582
 0.3626087    0.0671864
 0.3734123    0.0673816
 0.3843867    0.0675420
 0.3955294    0.0676662
 0.4068377    0.0677524
 0.4183084    0.0677988
 0.4299382    0.0678034
 0.4417233    0.0677642
 0.4536594    0.0676790
 0.4657421    0.0675454
 0.4779664    0.0673611
 0.4903269    0.0671233
 0.5028179    0.0668295
 0.5154331    0.0664768
 0.5281656    0.0660624
 0.5410082    0.0655834
 0.5539531    0.0650368
 0.5669920    0.0644193
 0.5801160    0.0637282
 0.5933156    0.0629600
 0.6065807    0.0621118
 0.6199005    0.0611805
 0.6332638    0.0601627
 0.6466584    0.0590556
 0.6600716    0.0578561
 0.6734898    0.0565609
 0.6868990    0.0551667
 0.7002840    0.0536702
 0.7136290    0.0520684
 0.7269177    0.0503601
 0.7401334    0.0485474
 0.7532594    0.0466367
 0.7662791    0.0446404
 0.7791760    0.0425750
 0.7919337    0.0404597
 0.8045347    0.0383140
 0.8169613    0.0361556
 0.8291942    0.0340000
 0.8412132    0.0318595
 0.8529965    0.0297446
 0.8645221    0.0276643
 0.8757662    0.0256264
 0.8867045    0.0236380
 0.8973115    0.0217054
 0.9075611    0.0198348
 0.9174260    0.0180312
 0.9268782    0.0162997
 0.9358890    0.0146445
 0.9444286    0.0130698
 0.9524667    0.0115798
 0.9599724    0.0101796
 0.9669144    0.0088749
 0.9732609    0.0076726
 0.9789795    0.0065806
 0.9840379    0.0056078
 0.9884039    0.0047628
 0.9920501    0.0040536
 0.9949726    0.0034832
 0.9972029    0.0030471
 0.9989375    0.0027075
 1.0000000    0.0024997
 1.0000000    0.0012443
 1.0000000    0.0000000
